,brand,age,name,abv,rating,No. rating,nose,taste,finish
1225,Nikka,15Y,Yoichi, 45%,4.3,10,['Peat Smoke:100%'],"['Fruit:100%', 'Malt:70%']",['Peat Smoke:100%']
1226,Smokehead,,Sherry Bomb, 48%,4.3,10,"['Peat Smoke:100%', 'Fruit:70%']","['Nuts:100%', 'Fruit:100%']",['Peat Smoke:100%']
1227,Aberlour,,a'bunadh Batch 52, 60.5%,4.2,10,"['Alcohol:100%', 'Sweet:100%']","['Fruit:100%', 'Nuts:70%']","['Sherry:100%', 'Peat Smoke:70%']"
1228,Glen Scotia,10Y,Campbeltown Malts Festival, 57.8%,4.2,10,"['Nuts:100%', 'Sweet:100%']","['Chili:100%', 'Oak:70%']","['Fruit:100%', 'Oak:100%']"
1229,Glenfarclas,,Oloroso Sherry Cask, 46%,4.2,10,"['Sweet:100%', 'Honey:80%']","['Dark Chocolate:100%', 'Herb:100%']","['Spices:100%', 'Sweet:90%']"
1230,Glenlivet,,Nadurra Triumph, 48%,4.2,10,[],"['Zitrus:100%', 'Fruit:100%']",[]
1231,Oban,,, 43%,4.2,10,"['Grape:100%', 'Oil:100%']","['Maritime Notes:100%', 'Sherry:100%']",[]
1232,Ardbeg,10Y,TEN, 46%,4.1,10,['Peat Smoke:100%'],['Spices:100%'],"['Peat Smoke:100%', 'Malt:70%']"
1233,Bruichladdich,6Y,Islay Barley, 50%,4.1,10,['Sweet:100%'],"['Sweet:100%', 'Malt:80%']",['Spices:100%']
1234,Edradour,10Y,Sherry cask, 59.1%,4.1,10,"['Fruit:100%', 'Sweet:80%']","['Fruit:100%', 'Sweet:70%']",['Sherry:100%']
1235,Glenlivet,16Y,Nadurra, 54.2%,4.1,10,['Herbs:100%'],"['Nuts:100%', 'Oak:100%']",[]
1236,Knob Creek,9Y,Single Barrel Reserve, 60%,4.1,10,"['Sweet:100%', 'Nuts:50%']","['Oak:100%', 'Herb:70%']","['Spices:100%', 'Herb:70%']"
1237,Longrow,11Y,Rundlets & Kilderkins, 51.7%,4.1,10,['Malt:100%'],"['Peat Smoke:100%', 'Oak:50%']","['Malt:100%', 'Oak:100%']"
1238,Tamdhu,,Batch Strength 003, 58.3%,4.1,10,"['Herbs:100%', 'Sherry:100%']",['Sherry:100%'],['Sherry:100%']
1239,Arran,,Port Cask Finish, 50%,4.0,10,"['Fruit:100%', 'Zitrus:40%']","['Sweet:100%', 'Spices:100%']",['Sherry:100%']
1240,Bowmore,16Y,Bordeaux Wine Matured Natural, 53.5%,4.0,10,[],['Peat Smoke:100%'],[]
1241,Dalwhinnie,,, 43%,4.0,10,"['Sweet:100%', 'Fruit:90%']","['Sweet:100%', 'Honey:80%']","['Sherry:100%', 'Oak:100%']"
1242,Glenmorangie,12Y,Lasanta, 46%,4.0,10,['Sherry:100%'],"['Nuts:100%', 'Raisin:80%']","['Sweet:100%', 'Spices:100%']"
1243,Lagavulin,12Y,Friends of the Classic Malts Bottling, 48%,4.0,10,[],"['Salt:100%', 'Maritime Notes:100%']",[]
1244,Macallan,,Fine Oak Master's Edition, 42.8%,4.0,10,"['Sweet:100%', 'Zitrus:60%']","['Fruit:100%', 'Spices:100%']",[]
1245,Oban,,Bay Reserve - Game of Thrones, 43%,4.0,10,"['Cherry:100%', 'Fruit:100%']","['Dark Chocolate:100%', 'Herb:100%']",['Oak:100%']
1246,Aberlour,12Y,, 43%,3.9,10,['Fruit:100%'],[],[]
1247,AnCnoc,,Rascan, 46%,3.9,10,"['Fruit:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Spices:60%']"
1248,Caol Ila,,Stitchell Reserve, 59.6%,3.9,10,"['Alcohol:100%', 'Honey:100%']","['Alcohol:100%', 'Spices:100%']",[]
1249,Edradour,,Port Matured 8th Release, 46%,3.9,10,['Sherry:100%'],['Sherry:100%'],['Sherry:100%']
1250,Glenfiddich,15Y,, 43%,3.9,10,[],[],[]
1251,Port Askaig,,100° Proof Islay, 57.1%,3.9,10,"['Peat Smoke:100%', 'Sweet:70%']","['Salt:100%', 'Maritime Notes:100%']","['Spices:100%', 'Peat Smoke:100%']"
1252,Springbank,12Y,Calvados Wood, 52.7%,3.9,10,"['Fruit:100%', 'Apple:70%']","['Fruit:100%', 'Apple:70%']","['Apple:100%', 'Fruit:100%']"
1253,Aberlour,11Y,White Oak, 43%,3.8,10,['Sweet:100%'],"['Oil:100%', 'Nuts:100%']",[]
1254,Balvenie,12Y,Signature Wooden Case, 40%,3.8,10,['Sweet:100%'],"['Spices:100%', 'Fruit:70%']",[]
1255,Big Peat,,Christmas Edition, 53.8%,3.8,10,"['Seaweed:100%', 'Maritime Notes:100%']","['Oil:100%', 'Nuts:100%']",['Peat Smoke:100%']
1256,Highland Park,16Y,, 40%,3.8,10,['Sherry:100%'],['Herbs:100%'],[]
1257,Oban,,, 43%,3.8,10,"['Fruit:100%', 'Sherry:100%']","['Salt:100%', 'Maritime Notes:100%']","['Salt:100%', 'Maritime Notes:100%']"
1258,Tomintoul,15Y,Port Wood, 46%,3.8,10,"['Sweet:100%', 'Fruit:90%']","['Sweet:100%', 'Sherry:90%']","['Heather:100%', 'Herbs:100%']"
1259,Tullamore D.E.W.,14Y,, 41.3%,3.8,10,"['Fruit:100%', 'Zitrus:50%']","['Fruit:100%', 'Spices:100%']",['Spices:100%']
1260,Laphroaig,10Y,200 years Laphroaig, 40%,3.7,10,"['Maritime Notes:100%', 'Peat Smoke:100%']","['Maritime Notes:100%', 'Peat Smoke:100%']",['Maritime Notes:100%']
1261,Macallan,21Y,, 43%,3.7,10,[],"['Honey:100%', 'Oak:100%']",[]
1262,Teeling,,Rum Cask, 46%,3.7,10,['Sweet:100%'],"['Oak:100%', 'Sweet:100%']",[]
1263,AnCnoc,,Flaughter, 46%,3.6,10,"['Sweet:100%', 'Vanilla:90%']","['Sweet:100%', 'Fruit:90%']",['Peat Smoke:100%']
1264,Balblair,,Vintage, 43%,3.6,10,"['Lemon:100%', 'Tropical Fruit:100%']","['Malt:100%', 'Fruit:100%']","['Malt:100%', 'Oil:100%']"
1265,Balblair,,Vintage, 46%,3.6,10,"['Spices:100%', 'Sweet:100%']","['Pepper:100%', 'Nuts:100%']",['Spices:100%']
1266,Highland Park,,, 40%,3.6,10,"['Salt:100%', 'Maritime Notes:100%']","['Dried Fruit:100%', 'Sweet:100%']","['Chili:100%', 'Spices:100%']"
1267,Hyde,10Y,, 46%,3.6,10,"['Zitrus:100%', 'Lemon:100%']","['Fruit:100%', 'Sweet:100%']","['Oak:100%', 'Sherry:70%']"
1268,Mackmyra,,Vinterdröm, 46.1%,3.6,10,[],['Sherry:100%'],['Spices:100%']
1269,Octomore,5Y,5rd1, 59.5%,3.6,10,"['Peat Smoke:100%', 'Maritime Notes:60%']","['Peat Smoke:100%', 'Sweet:70%']",['Peat Smoke:100%']
1270,Woodford Reserve,,Rye, 45.2%,3.6,10,"['Oak:100%', 'Fruit:100%']","['Wheat:100%', 'Malt:100%']","['Malt:100%', 'Wheat:100%']"
1271,Caol Ila,8Y,Unpeated, 64.9%,3.5,10,['Zitrus:100%'],"['Grass:100%', 'Herbs:100%']",[]
1272,Epicurean,,, 46.2%,3.5,10,"['Zitrus:100%', 'Malt:100%']",[],[]
1273,Slyrs,,Sherry Edition No.1, 46%,3.4,10,[],['Sherry:100%'],[]
1274,Té Bheag,,, 40%,3.4,10,"['Peat Smoke:100%', 'Sweet:80%']","['Peat Smoke:100%', 'Sweet:60%']",[]
1275,Balblair,,Vintage, 46%,3.3,10,"['Fruit:100%', 'Sweet:80%']","['Spices:100%', 'Sweet:80%']",[]
1276,Edradour,10Y,, 40%,3.3,10,"['Sherry:100%', 'Sweet:80%']","['Sweet:100%', 'Oak:80%']","['Malt:100%', 'Oak:100%']"
1277,Jack Daniel's,,Silver Select, 50%,3.3,10,"['Sweet:100%', 'Oak:70%']","['Alcohol:100%', 'Sweet:100%']","['Nuts:100%', 'Spices:100%']"
1278,Tormore,12Y,, 40%,3.3,10,['Malt:100%'],['Malt:100%'],[]
1279,Speyside (Spey),,Tenné, 46%,3.2,10,['Sherry:100%'],"['Fruit:100%', 'Sweet:100%']",[]
1280,Proper,,No. Twelve - Conor McGregor, 40%,3.1,10,[''],[''],['']
1281,Penderyn,,Madeira Finish, 41%,3.0,10,[],['Fruit:100%'],[]
