,brand,age,name,abv,rating,No. rating,nose,taste,finish
1734,Glenmorangie,,A Midwinter Night's Dram- Edition 2017, 43%,3.1,7,"['Nuts:100%', 'Fruit:100%']","['Vanilla:100%', 'Nuts:100%']","['Nuts:100%', 'Fruit:100%']"
1735,Johnnie Walker,,Explorers Club Collection The Spice Road, 40%,3.1,7,"['Sweet:100%', 'Oak:70%']","['Chili:100%', 'Oak:100%']","['Oak:100%', 'Nuts:70%']"
1736,McClelland,,Islay, 40%,3.1,7,[''],[''],['']
1737,Mortlach,12Y,Feingeist(er), 46%,3.1,7,[],"['Malt:100%', 'Oak:70%']",[]
1738,Powers,,Gold label non-chill filtered with 4 Glasses, 43.2%,3.1,7,['Fruit:100%'],"['Fruit:100%', 'Malt:80%']",['Malt:100%']
1739,,,Isabella Fortuna WK499 2nd Release, 46%,3.1,7,['Zitrus:100%'],"['Oak:100%', 'Spices:100%']",['Spices:100%']
1740,Rothaus,3Y,Black Forest 4. Edition, 43%,3.1,7,[],['Fruit:100%'],['Malt:100%']
1741,Auchroisk,16Y,, 46%,3.0,7,[],"['Fruit:100%', 'Herb:80%']",[]
1742,Ballechin,,Port Matured, 46%,3.0,7,[],['Peat Smoke:100%'],[]
1743,Benromach,,Peat Smoke, 46%,3.0,7,[],"['Oil:100%', 'Nuts:100%']","['Spices:100%', 'Peat Smoke:100%']"
1744,Four Roses,,Yellow label old Casing, 40%,3.0,7,[''],[''],['']
1745,Glenfiddich,12Y,Caoran Reserve old bottling, 40%,3.0,7,[''],[''],['']
1746,Loch Lomond,,Single Grain, 46%,3.0,7,['Sweet:100%'],"['Sweet:100%', 'Vanilla:70%']",['Zitrus:100%']
1747,Slyrs,,Pedro Ximénez No 3, 46%,3.0,7,[],"['Sweet:100%', 'Vanilla:70%']",[]
1748,Slyrs,,Rum Finish, 46%,3.0,7,"['Peach:100%', 'Honey:100%']","['Pepper:100%', 'Fruit:100%']","['Chili:100%', 'Spices:100%']"
1749,Teeling,,Riesling Cask, 46%,3.0,7,['Herbs:100%'],"['Fruit:100%', 'Sweet:100%']","['Sweet:100%', 'Spices:100%']"
1750,West Cork,12Y,Port Cask Finish, 43%,3.0,7,"['Herb:100%', 'Sweet:100%']",['Herb:100%'],['Sherry:100%']
1751,Benromach,,Peat Smoke, 46%,2.9,7,['Peat Smoke:100%'],"['Malt:100%', 'Sweet:100%']",[]
1752,Bruichladdich,,Organic, 46%,2.9,7,[''],[''],['']
1753,Glenlivet,12Y,, 40%,2.9,7,['Fruit:100%'],['Fruit:100%'],['Peat Smoke:100%']
1754,Mackmyra,,MACK, 40%,2.9,7,[],"['Fruit:100%', 'Sweet:80%']",['Spices:100%']
1755,Seagram,,s VO, 40%,2.9,7,[''],[''],['']
1756,Slyrs,,, 43%,2.9,7,[''],[''],['']
1757,Ben Bracken,12Y,Highland Speyside, 40%,2.7,7,[],['Nuts:100%'],[]
1758,Connemara,,Peated, 40%,2.7,7,[''],[''],['']
1759,Glen Breton,12Y,Ice, 40%,2.7,7,"['Chili:100%', 'Ginger:100%']","['Grapefruit:100%', 'Alcohol:100%']",[]
1760,Jack Daniel's,,Tennessee Fire, 35%,2.7,7,"['Cinnamon:100%', 'Apple:100%']",[],"['Chili:100%', 'Spices:100%']"
1761,Jura,,Seven Wood, 42%,2.7,7,"['Sweet:100%', 'Fruit:100%']","['Oak:100%', 'Fruit:80%']","['Fruit:100%', 'Oak:100%']"
1762,Nikka,,Pure Malt Red, 43%,2.7,7,[],['Zitrus:100%'],[]
1763,Nikka,,"White, Pure Malt", 43%,2.7,7,[''],[''],['']
1764,Scapa,,Glansa, 40%,2.7,7,"['Sweet:100%', 'Fruit:100%']",['Maritime Notes:100%'],"['Sweet:100%', 'Peat Smoke:100%']"
1765,Slyrs,3Y,, 43%,2.7,7,"['Fruit:100%', 'Zitrus:60%']",['Oak:100%'],[]
1766,Arran,,years Proof, 57%,2.6,7,"['Malt:100%', 'Spices:100%']",['Sweet:100%'],[]
1767,Bushmills,,Irish Honey, 35%,2.6,7,[],[],['Sweet:100%']
1768,Glen Broch,,Bourbon Cask Finish, 40%,2.6,7,[],"['Malt:100%', 'Oak:70%']",[]
1769,Loch Lomond,21Y,, 43%,2.6,7,[],"['Malt:100%', 'Oak:100%']","['Oak:100%', 'Peat Smoke:100%']"
1770,Schwäbischer Whisky,,Owen / Berghof, 40%,2.6,7,[],['Nuts:100%'],[]
1771,Simons,,Bavarian Pure Pot Still Whiskey, 40%,2.6,7,[],"['Fruit:100%', 'Spices:100%']",[]
1772,Stonewood,5Y,Woaz - Bavarian Single Wheat Malt Whisky, 43%,2.4,7,[''],[''],['']
1773,Glen Grant,,Pure Malt, 40%,2.3,7,[''],[''],['']
1774,Glenfarclas,,Christmas Edition, 46%,2.3,7,['Sherry:100%'],[],['Sherry:100%']
1775,Nikka,,Rare Old Super, 43%,2.3,7,"['Oak:100%', 'Floral:90%']","['Sweet:100%', 'Vanilla:80%']",['Peat Smoke:100%']
1776,Bosch,4Y,, 40%,2.1,7,['Malt:100%'],[],[]
1777,Penderyn,,Celt, 41%,2.1,7,"['Malt:100%', 'Maritime Notes:100%']","['Fruit:100%', 'Zitrus:50%']","['Spices:100%', 'Peat Smoke:100%']"
1778,,,Gallantry Very Old Irish Whiskey, 40%,1.9,7,['Spices:100%'],['Sweet:100%'],['Sweet:100%']
1779,Rothaus,3Y,Black Forest 3. Edition, 43%,1.7,7,[''],[''],['']
1780,Ardbeg,,, 46%,5.0,6,[''],[''],['']
1781,Benriach,16Y,Tawny Port Finish, 55.8%,5.0,6,[],"['Sweet:100%', 'Sherry:60%']",[]
1782,Bunnahabhain,14Y,Pedro Ximénez Finish - Limited Release, 54.3%,5.0,6,"['Nuts:100%', 'Sherry:100%']","['Nuts:100%', 'Raisin:70%']",[]
1783,Edradour,18Y,Exklusiv f. Helgoland Online Shop, 56.6%,5.0,6,[''],[''],['']
1784,Glendronach,11Y,Batch No. 1 (Premium Cask), 53.9%,5.0,6,['Sherry:100%'],"['Fruit:100%', 'Nuts:50%']",[]
1785,Highland Park,30Y,, 48.1%,5.0,6,"['Sweet:100%', 'Chocolate:60%']","['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Spices:50%']"
1786,Macallan,18Y,Sherry cask, 43%,5.0,6,[''],[''],['']
1787,Benriach,22Y,Moscatel Finish, 46%,4.8,6,[],"['Plum:100%', 'Fruit:100%']",[]
1788,Bowmore,21Y,Mission Range (Sherry cask), 54.5%,4.8,6,['Oak:100%'],['Nuts:100%'],"['Malt:100%', 'Nuts:100%']"
1789,Edradour,10Y,'Whisky.de exklusiv', 58%,4.8,6,[],"['Oak:100%', 'Fruit:100%']","['Nuts:100%', 'Sherry:100%']"
1790,George Dickel,,Barrel Select, 43%,4.8,6,"['Oak:100%', 'Vanilla:100%']","['Oak:100%', 'Sweet:100%']","['Heather:100%', 'Herbs:100%']"
1791,Glendronach,20Y,Single Cask, 53.9%,4.8,6,"['Zitrus:100%', 'Spices:100%']","['Malt:100%', 'Oak:100%']","['Herbs:100%', 'Nuts:100%']"
1792,Glenfarclas,,, 54.7%,4.8,6,[],"['Raisin:100%', 'Honey:100%']",[]
1793,Glenrothes,,, 44.1%,4.8,6,"['Cherry:100%', 'Mint:100%']","['Leather:100%', 'Dark Chocolate:100%']","['Dark Chocolate:100%', 'Herb:100%']"
1794,Glenrothes,11Y,Discovery, 43%,4.8,6,"['Sherry:100%', 'Fruit:80%']",['Fruit:100%'],"['Malt:100%', 'Herb:60%']"
1795,Lagavulin,,, 43%,4.8,6,[''],[''],['']
1796,Laphroaig,23Y,Vintage, 52.6%,4.8,6,"['Clove:100%', 'Nutmeg:100%']","['Pepper:100%', 'Dried Fruit:90%']",[]
1797,Longrow,13Y,Red - Malbec Cask matured, 51.3%,4.8,6,"['Sweet:100%', 'Fruit:100%']","['Ginger:100%', 'Pepper:100%']","['Berries:100%', 'Fruit:100%']"
1798,Port Askaig,19Y,Cask Strength, 50.4%,4.8,6,"['Seaweed:100%', 'Maritime Notes:100%']","['Peat Smoke:100%', 'Maritime Notes:40%']","['Peat Smoke:100%', 'Maritime Notes:50%']"
1799,Strathisla,30Y,, 43%,4.8,6,"['Pear:100%', 'Honey:100%']","['Grass:100%', 'Herbs:100%']",['Sherry:100%']
1800,AnCnoc,24Y,, 46%,4.7,6,"['Zitrus:100%', 'Lemon:90%']","['Leather:100%', 'Honey:100%']",[]
1801,Ardbeg,23Y,Twenty Something, 46.3%,4.7,6,"['Chili:100%', 'Chocolate:100%']","['Hay:100%', 'Seaweed:100%']","['Chocolate:100%', 'Oil:100%']"
1802,Blair Athol,28Y,, 60.6%,4.7,6,"['Herb:100%', 'Sweet:100%']","['Coffee:100%', 'Herb:100%']",['Herb:100%']
1803,Bowmore,15Y,Mariner, 43%,4.7,6,['Peat Smoke:100%'],"['Pear:100%', 'Oak:100%']","['Heather:100%', 'Seaweed:100%']"
1804,Bunnahabhain,32Y,, 52.1%,4.7,6,"['Leather:100%', 'Herb:100%']","['Sweet:100%', 'Floral:80%']","['Sweet:100%', 'Honey:90%']"
1805,Chivas Regal,25Y,, 40%,4.7,6,[''],[''],['']
1806,Glendronach,12Y,, 58.2%,4.7,6,"['Nuts:100%', 'Herb:100%']","['Sweet:100%', 'Zitrus:50%']","['Sherry:100%', 'Fruit:100%']"
1807,Glengoyne,14Y,Sherry Pedro Ximenez, 53.2%,4.7,6,"['Pear:100%', 'Fruit:100%']","['Chocolate:100%', 'Nuts:90%']","['Sweet:100%', 'Spices:100%']"
1808,Laphroaig,21Y,21 years of Friendship, 48.4%,4.7,6,[],"['Sweet:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Peat Smoke:100%']"
1809,Longrow,11Y,Red, 53.1%,4.7,6,['Spices:100%'],"['Herbs:100%', 'Fruit:100%']","['Spices:100%', 'Peat Smoke:100%']"
1810,Springbank,10Y,Rundlets & Kilderkins, 49.4%,4.7,6,"['Hazelnut:100%', 'Pepper:100%']","['Almonds:100%', 'Nutmeg:100%']",['Oak:100%']
1811,Talisker,,Collection, 57%,4.7,6,[],['Sherry:100%'],[]
1812,Talisker,,, 45.8%,4.7,6,"['Nutmeg:100%', 'Grape:100%']","['Pepper:100%', 'Fruit:100%']","['Dark Chocolate:100%', 'Pepper:100%']"
1813,Talisker,25Y,, 45.8%,4.7,6,"['Sweet:100%', 'Zitrus:50%']","['Peat Smoke:100%', 'Maritime Notes:50%']","['Oak:100%', 'Spices:100%']"
1814,Amrut,,Intermediate Sherry, 57.1%,4.5,6,"['Cake:100%', 'Spices:100%']","['Malt:100%', 'Oak:100%']",['Sherry:100%']
1815,Balvenie,17Y,Peated Cask, 48.7%,4.5,6,[],"['Wheat:100%', 'Malt:100%']",['Peat Smoke:100%']
1816,Blanton's,,Silver Edition, 49%,4.5,6,[],['Fruit:100%'],['Sweet:100%']
1817,Bunnahabhain,12Y,Bourbon/Paulliac, 46%,4.5,6,[],['Fruit:100%'],['Spices:100%']
1818,Caol Ila,15Y,, 60.4%,4.5,6,"['Barley:100%', 'Wheat:100%']","['Salt:100%', 'Maritime Notes:100%']",[]
1819,Glendronach,18Y,Tawny Port, 48%,4.5,6,"['Grapefruit:100%', 'Grape:100%']","['Tobacco:100%', 'Berries:100%']","['Raisin:100%', 'Sherry:100%']"
1820,Glenfarclas,,Christmas Malt, 46%,4.5,6,"['Chili:100%', 'Spices:100%']","['Oak:100%', 'Sherry:100%']","['Fruit:100%', 'Oak:100%']"
1821,Glenrothes,23Y,Vintage, 43%,4.5,6,"['Sweet:100%', 'Spices:50%']","['Nuts:100%', 'Oak:100%']","['Nuts:100%', 'Oak:100%']"
1822,Kilchoman,6Y,Loch Gorm, 46%,4.5,6,"['Chocolate:100%', 'Sweet:100%']","['Oil:100%', 'Nuts:100%']","['Malt:100%', 'Herb:100%']"
1823,Laphroaig,25Y,, 45.1%,4.5,6,"['Nuts:100%', 'Maritime Notes:100%']","['Herb:100%', 'Fruit:100%']",[]
1824,Macallan,10Y,Cask Strength, 58.6%,4.5,6,"['Sherry:100%', 'Zitrus:60%']","['Sweet:100%', 'Sherry:100%']","['Sweet:100%', 'Spices:100%']"
1825,Oban,,Distillers Edition, 43%,4.5,6,"['Peat Smoke:100%', 'Sherry:70%']","['Nuts:100%', 'Spices:100%']","['Spices:100%', 'Peat Smoke:100%']"
1826,Springbank,12Y,Cask Strength, 56.3%,4.5,6,"['Herb:100%', 'Oak:100%']","['Nuts:100%', 'Sherry:100%']","['Malt:100%', 'Herb:100%']"
1827,Suntory,17Y,Hibiki, 43%,4.5,6,['Zitrus:100%'],"['Chili:100%', 'Spices:100%']",[]
1828,Wild Turkey,,Kentucky Spirit, 50.5%,4.5,6,['Sweet:100%'],"['Fruit:100%', 'Sweet:100%']",[]
1829,,18Y,Cask Orkney, 46%,4.3,6,"['Herbs:100%', 'Peat Smoke:100%']","['Peach:100%', 'Fruit:100%']","['Zitrus:100%', 'Maritime Notes:100%']"
1830,Aberlour,,a'bunadh Batch 27, 60.1%,4.3,6,['Sherry:100%'],['Fruit:100%'],['Fruit:100%']
1831,Amrut,,Peated Cask Strength, 62.8%,4.3,6,"['Barley:100%', 'Malt:100%']",[],"['Sweet:100%', 'Peat Smoke:100%']"
1832,Ardbeg,10Y,Rollercoaster, 55.9%,4.3,6,[''],[''],['']
1833,Ardbeg,22Y,Twenty Something, 46.4%,4.3,6,[''],[''],['']
1834,As we get it,,Highland, 64%,4.3,6,"['Caramel:100%', 'Honey:100%']","['Fruit:100%', 'Sweet:100%']",['Sherry:100%']
1835,Baileys,,Chocolat Luxe, 15.7%,4.3,6,[],"['Nuts:100%', 'Sweet:100%']","['Chocolate:100%', 'Sweet:100%']"
1836,Ballechin,11Y,Small Batch No. 2, 48.1%,4.3,6,"['Sherry:100%', 'Peat Smoke:100%']","['Sherry:100%', 'Peat Smoke:100%']","['Sherry:100%', 'Oak:100%']"
1837,Ballechin,12Y,Manzanilla Sherry Cask, 55.6%,4.3,6,[''],[''],['']
1838,Caol Ila,17Y,unpeated, 55.9%,4.3,6,"['Caramel:100%', 'Orange:90%']","['Ginger:100%', 'Salt:90%']","['Chocolate:100%', 'Dark Chocolate:100%']"
1839,Dalwhinnie,,Triple Matured Edition, 48%,4.3,6,"['Barley:100%', 'Wheat:100%']","['Pepper:100%', 'Fruit:100%']","['Fruit:100%', 'Oak:100%']"
1840,Edradour,,Sauternes Matured Batch No. 2, 46%,4.3,6,[''],[''],['']
1841,Edradour,,Port - Batch No. 1, 46%,4.3,6,[],"['Fruit:100%', 'Sweet:100%']",[]
1842,Edradour,10Y,Marsala Finish, 57.6%,4.3,6,[''],[''],['']
1843,Edradour,10Y,, 46%,4.3,6,['Sherry:100%'],['Sherry:100%'],[]
1844,Edradour,10Y,, 46%,4.3,6,"['Plum:100%', 'Raisin:100%']","['Oak:100%', 'Fruit:100%']","['Fruit:100%', 'Oak:100%']"
1845,Glen Els,,"The Alrik, Ruska", 52.3%,4.3,6,"['Sherry:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sherry:60%']","['Peat Smoke:100%', 'Sherry:60%']"
1846,Glen Els,,The Journey Edition 2019, 43%,4.3,6,[''],[''],['']
1847,Glen Els,6Y,Wayfare (The Cask Strength), 57.9%,4.3,6,"['Raisin:100%', 'Berries:100%']","['Fruit:100%', 'Sherry:50%']",['Sweet:100%']
1848,Glen Garioch,16Y,The Renaissance 2nd Chapter, 51.4%,4.3,6,"['Fruit:100%', 'Zitrus:50%']","['Oil:100%', 'Nuts:100%']","['Oak:100%', 'Sherry:50%']"
1849,Glen Grant,24Y,World Champions, 56%,4.3,6,"['Fig:100%', 'Raisin:100%']","['Malt:100%', 'Oak:100%']",['Spices:100%']
1850,Glenfarclas,,Christmas Malt, 46%,4.3,6,"['Fruit:100%', 'Oak:50%']","['Sherry:100%', 'Nuts:50%']","['Fruit:100%', 'Oak:100%']"
1851,Glenlossie,,, 46%,4.3,6,"['Dried Fruit:100%', 'Nuts:100%']","['Green Apple:100%', 'Red Currant:50%']","['Cinnamon:100%', 'Hazelnut:100%']"
1852,Kilchoman,,Small Batch for Germany, 48.9%,4.3,6,['Peat Smoke:100%'],[],['Peat Smoke:100%']
1853,Kilkerran,,WIP 7 Bourbon, 54.1%,4.3,6,"['Herbs:100%', 'Zitrus:100%']","['Apple:100%', 'Vanilla:100%']","['Fruit:100%', 'Oak:100%']"
1854,Knockando,18Y,Slow Matured with 2 Glasses, 43%,4.3,6,"['Nuts:100%', 'Oak:100%']","['Oil:100%', 'Nuts:100%']","['Malt:100%', 'Nuts:100%']"
1855,Port Charlotte,,PC 12 Oileanach Furachail, 58.7%,4.3,6,"['Herb:100%', 'Oak:100%']","['Peat Smoke:100%', 'Maritime Notes:50%']","['Herb:100%', 'Fruit:100%']"
1856,Tormore,14Y,, 45%,4.3,6,"['Alcohol:100%', 'Sweet:100%']",['Fruit:100%'],"['Oak:100%', 'Sweet:100%']"
1857,Balblair,,Vintage, 46%,4.2,6,"['Caramel:100%', 'Vanilla:100%']","['Oak:100%', 'Sweet:100%']","['Alcohol:100%', 'Sweet:100%']"
1858,Balvenie,14Y,Peat Week, 48.3%,4.2,6,"['Peat Smoke:100%', 'Sweet:70%']","['Vanilla:100%', 'Sweet:100%']","['Peat Smoke:100%', 'Zitrus:50%']"
1859,Benriach,12Y,Heredotus Fumosus, 46%,4.2,6,"['Sweet:100%', 'Peat Smoke:100%']","['Fruit:100%', 'Sweet:100%']","['Maritime Notes:100%', 'Herb:100%']"
1860,Bushmills,21Y,Matured in Three Woods, 40%,4.2,6,"['Honey:100%', 'Vanilla:100%']","['Malt:100%', 'Honey:100%']",[]
1861,Caol Ila,,, 43%,4.2,6,"['Almonds:100%', 'Ham:100%']","['Chili:100%', 'Honey:100%']","['Nutmeg:100%', 'Coffee:100%']"
1862,Caol Ila,12Y,, 43%,4.2,6,"['Fruit:100%', 'Peat Smoke:100%']","['Oil:100%', 'Nuts:100%']",['Peat Smoke:100%']
1863,Elijah Craig,12Y,, 64%,4.2,6,"['Oak:100%', 'Fruit:70%']","['Pepper:100%', 'Leather:70%']",[]
1864,Glen Els,5Y,"Casino 2015, Edition NOIR, gently woodsmoked", 45.9%,4.2,6,[],['Sweet:100%'],['Sweet:100%']
1865,Glen Grant,,170th Anniversary, 46%,4.2,6,[''],[''],['']
1866,Glenfarclas,,Premium Edition, 46%,4.2,6,[''],[''],['']
1867,Glenfarclas,,Family Reserve, 46%,4.2,6,[''],[''],['']
1868,Glenfiddich,21Y,Gran Reserva Cuban Rum Finish, 40%,4.2,6,['Fruit:100%'],"['Oak:100%', 'Spices:100%']","['Malt:100%', 'Spices:100%']"
1869,Glenmorangie,15Y,, 43%,4.2,6,[''],[''],['']
1870,Glenrothes,,Vintage, 43%,4.2,6,"['Raisin:100%', 'Vanilla:100%']","['Cinnamon:100%', 'Oil:100%']","['Raisin:100%', 'Sherry:100%']"
1871,Hazelburn,9Y,Barolo, 57.9%,4.2,6,"['Spices:100%', 'Sweet:100%']","['Spices:100%', 'Fruit:70%']",['Spices:100%']
1872,Kilchoman,,100% Islay 6th Edition, 50%,4.2,6,['Peat Smoke:100%'],"['Sweet:100%', 'Fruit:70%']","['Sweet:100%', 'Peat Smoke:100%']"
1873,Kilchoman,5Y,Loch Gorm, 46%,4.2,6,['Maritime Notes:100%'],"['Peat Smoke:100%', 'Sherry:70%']",[]
1874,Laphroaig,10Y,, 43%,4.2,6,[],"['Medicinal Smoke:100%', 'Alcohol:100%']","['Vanilla:100%', 'Oak:100%']"
1875,Laphroaig,16Y,, 48%,4.2,6,"['Heather:100%', 'Herbs:100%']","['Banana:100%', 'Maritime Notes:100%']",['Maritime Notes:100%']
1876,Laphroaig,16Y,, 46%,4.2,6,[],"['Fruit:100%', 'Peat Smoke:100%']",[]
1877,Octomore,5Y,2/_140, 62.5%,4.2,6,['Peat Smoke:100%'],"['Peat Smoke:100%', 'Maritime Notes:60%']",['Peat Smoke:100%']
1878,Talisker,,Distillers Edition, 45.8%,4.2,6,['Maritime Notes:100%'],"['Peat Smoke:100%', 'Nuts:50%']","['Malt:100%', 'Maritime Notes:100%']"
1879,Talisker,8Y,Special Release, 59.4%,4.2,6,"['Peach:100%', 'Salt:100%']","['Pepper:100%', 'Oak:100%']","['Apple:100%', 'Heather:100%']"
1880,The Singleton of Glen Ord,18Y,, 40%,4.2,6,"['Spices:100%', 'Dried Fruit:90%']","['Zitrus:100%', 'Orange:90%']","['Sweet:100%', 'Chocolate:90%']"
1881,Wild Turkey,12Y,, 50.5%,4.2,6,"['Orange:100%', 'Zitrus:100%']",['Spices:100%'],"['Almonds:100%', 'Nuts:100%']"
1882,AnCnoc,22Y,, 46%,4.0,6,[],['Sherry:100%'],[]
1883,Arran,,Amarone Cask Finish, 50%,4.0,6,[''],[''],['']
1884,Ben Nevis,18Y,The Cross Hill, 61.2%,4.0,6,"['Sweet:100%', 'Zitrus:50%']","['Nuts:100%', 'Sweet:100%']",['Spices:100%']
1885,Benromach,,Sassicaia Finish, 45%,4.0,6,"['Fruit:100%', 'Sherry:100%']","['Fruit:100%', 'Sweet:100%']",[]
1886,Benromach,,Peat Smoke, 46%,4.0,6,"['Fruit:100%', 'Peat Smoke:100%']","['Pepper:100%', 'Fruit:100%']","['Malt:100%', 'Fruit:100%']"
1887,Bruichladdich,,Port Charlotte The Peat Project, 46%,4.0,6,"['Peat Smoke:100%', 'Sweet:70%']","['Oak:100%', 'Zitrus:50%']",['Peat Smoke:100%']
1888,Bruichladdich,,Sherry Edition Series 2 - Pedro Ximenez, 46%,4.0,6,[],"['Malt:100%', 'Nuts:100%']",[]
1889,Bunnahabhain,13Y,Bourbon/Port, 46%,4.0,6,[''],[''],['']
1890,Cragganmore,,, 40%,4.0,6,"['Almonds:100%', 'Nuts:100%']","['Cherry:100%', 'Nuts:100%']",[]
1891,Glenmorangie,12Y,Quinta Ruban, 46%,4.0,6,"['Grapefruit:100%', 'Zitrus:100%']","['Chocolate:100%', 'Fruit:100%']","['Chocolate:100%', 'Sweet:100%']"
1892,Highland Park,,Spirit of the Bear, 40%,4.0,6,"['Spices:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Fruit:80%']","['Spices:100%', 'Sherry:50%']"
1893,Johnnie Walker,,Blue label, 40%,4.0,6,[''],[''],['']
1894,Kilchoman,,100% Islay 3rd Edition, 50%,4.0,6,"['Malt:100%', 'Fruit:100%']","['Vanilla:100%', 'Sweet:100%']",['Peat Smoke:100%']
1895,Loch Lomond,,Madeira Wood Finish, 46%,4.0,6,[],"['Nuts:100%', 'Fruit:100%']",['Nuts:100%']
1896,Mortlach,12Y,The Wee Witchie, 43.4%,4.0,6,"['Fruit:100%', 'Oak:70%']","['Spices:100%', 'Sweet:70%']","['Fruit:100%', 'Sherry:70%']"
1897,Tamdhu,12Y,Sherry, 43%,4.0,6,"['Sweet:100%', 'Sherry:100%']",['Fruit:100%'],"['Sherry:100%', 'Spices:70%']"
1898,,,Collectivum XXVIII, 57.3%,3.8,6,['Spices:100%'],"['Malt:100%', 'Nuts:100%']",['Malt:100%']
1899,Aberlour,,a'bunadh Batch 45, 60.2%,3.8,6,"['Herb:100%', 'Spices:100%']","['Sweet:100%', 'Spices:100%']",[]
1900,Ardmore,,Traditional Cask, 46%,3.8,6,[''],[''],['']
1901,Arran,12Y,Icons of Arran No. 2 - The Rowan Tree, 46%,3.8,6,['Spices:100%'],"['Nuts:100%', 'Sherry:100%']",['Spices:100%']
1902,Balvenie,13Y,Port Wood, 40%,3.8,6,"['Sweet:100%', 'Sherry:60%']","['Honey:100%', 'Sweet:100%']",[]
1903,Benriach,18Y,Gaja Barolo, 46%,3.8,6,"['Sweet:100%', 'Fruit:100%']","['Fruit:100%', 'Spices:70%']",[]
1904,Bowmore,10Y,Tempest Batch No. 2, 56%,3.8,6,[''],[''],['']
1905,Bowmore,12Y,, 40%,3.8,6,"['Zitrus:100%', 'Sweet:100%']","['Herb:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Herb:50%']"
1906,Bowmore,12Y,, 46%,3.8,6,[],"['Sweet:100%', 'Peat Smoke:100%']",[]
1907,Glen Els,,Cosy Winter Edition III, 50.1%,3.8,6,"['Plum:100%', 'Sweet:100%']","['Plum:100%', 'Fruit:100%']","['Alcohol:100%', 'Malt:100%']"
1908,Glendullan,14Y,, 46%,3.8,6,['Sherry:100%'],[],[]
1909,Glenmorangie,,Allta, 51.2%,3.8,6,"['Sweet:100%', 'Fruit:100%']",['Sweet:100%'],"['Sweet:100%', 'Spices:100%']"
1910,Hudson,,Baby Bourbon, 46%,3.8,6,"['Sweet:100%', 'Caramel:80%']","['Oak:100%', 'Caramel:90%']",[]
1911,Johnnie Walker,,Island Green, 43%,3.8,6,"['Peat Smoke:100%', 'Maritime Notes:60%']","['Bonfire Smoke:100%', 'Salt:100%']","['Peat Smoke:100%', 'Maritime Notes:60%']"
1912,Kerrygold,,, 17%,3.8,6,"['Sweet:100%', 'Herb:50%']",['Nuts:100%'],[]
1913,Macallan,,, 43%,3.8,6,['Sherry:100%'],"['Nuts:100%', 'Sherry:100%']","['Sherry:100%', 'Oak:100%']"
1914,Port Charlotte,8Y,PC8, 60.5%,3.8,6,[],"['Pepper:100%', 'Oak:100%']",[]
1915,Royal Brackla,16Y,, 40%,3.8,6,"['Sweet:100%', 'Vanilla:80%']","['Fruit:100%', 'Vanilla:90%']",['Sherry:100%']
1916,Tomintoul,33Y,, 43%,3.8,6,['Malt:100%'],"['Oil:100%', 'Nuts:100%']",[]
1917,Arran,10Y,, 46%,3.7,6,['Fruit:100%'],"['Oak:100%', 'Sweet:100%']",['Nuts:100%']
1918,Benrinnes,19Y,, 43%,3.7,6,"['Nuts:100%', 'Zitrus:100%']","['Malt:100%', 'Oil:100%']","['Malt:100%', 'Oak:100%']"
1919,Benromach,,Château Cissac, 45%,3.7,6,"['Floral:100%', 'Herbs:100%']","['Lemon:100%', 'Zitrus:100%']",['Sherry:100%']
1920,Clynelish,18Y,, 54.5%,3.7,6,"['Cheese:100%', 'Lemon:100%']","['Grape:100%', 'Oak:100%']",[]
1921,Cragganmore,,Distillers Edition, 40%,3.7,6,"['Sweet:100%', 'Peat Smoke:100%']",['Sweet:100%'],['Oak:100%']
1922,Glen Deveron,15Y,, 40%,3.7,6,[],['Fruit:100%'],['Fruit:100%']
1923,Glendronach,10Y,Port Wood, 46%,3.7,6,"['Sweet:100%', 'Fruit:100%']","['Sweet:100%', 'Alcohol:70%']","['Spices:100%', 'Maritime Notes:60%']"
1924,Glenfiddich,15Y,Distillery Edition, 51%,3.7,6,[],"['Malt:100%', 'Nuts:100%']",['Peat Smoke:100%']
1925,Glengoyne,,Cask Strength - Batch 1, 58.7%,3.7,6,[],"['Nuts:100%', 'Fruit:100%']",[]
1926,Glenrothes,12Y,Vintage, 43%,3.7,6,['Spices:100%'],"['Oak:100%', 'Sweet:100%']",['Fruit:100%']
1927,Highland Park,14Y,Loyalty of the Wolf, 42.3%,3.7,6,"['Fruit:100%', 'Peat Smoke:100%']","['Sweet:100%', 'Spices:100%']",['Sherry:100%']
1928,J.B.G. Münsterländer,7Y,Oloroso/red wine Single Grain, 42%,3.7,6,['Sherry:100%'],"['Alcohol:100%', 'Peat Smoke:100%']",[]
1929,Jura,,Superstition with Telescopic Pocket Tumbler, 43%,3.7,6,"['Honey:100%', 'Sweet:100%']",['Spices:100%'],[]
1930,Lot 40,,, 43%,3.7,6,['Spices:100%'],['Spices:100%'],"['Spices:100%', 'Malt:80%']"
1931,Macallan,12Y,Elegancia, 40%,3.7,6,"['Clove:100%', 'Orange:100%']",[],"['Sherry:100%', 'Fruit:100%']"
